scenario,label,depth,rho,m_flux,inv_freq,sample_size,seed,tree_n_events,call_recurrent,n_sites,error,frac_admix_d,frac_admix_i,secs
single,0,young,0.0,1e-09,0.1,240,10113,1,0,305,,0.0,1.0,35.9
single,0,young,0.0,1e-07,0.1,240,10217,1,0,286,,0.0,1.0,35.9
single,0,young,0.0,1e-09,0.1,240,10065,1,0,344,,0.0,1.0,37.2
single,0,young,0.0,1e-07,0.1,240,10193,1,0,447,,0.0,1.0,37.6
single,0,young,0.0,1e-09,0.1,240,10081,1,0,344,,0.0,1.0,37.7
single,0,young,0.0,1e-08,0.1,240,10145,1,0,334,,0.0,1.0,38.3
single,0,young,0.0,1e-08,0.1,240,10177,1,0,458,,0.0,1.0,38.5
single,0,young,0.0,0.0,0.1,240,10033,1,0,375,,0.0,1.0,39.6
single,0,young,0.0,0.0,0.1,240,10041,1,0,567,,0.0,1.0,41.2
single,0,young,0.0,0.0,0.1,240,10057,1,0,397,,0.0,1.0,42.0
single,0,young,0.0,1e-06,0.1,240,10265,1,0,349,,0.0,1.0,42.1
single,0,young,0.0,1e-07,0.1,240,10209,1,0,365,,0.0,1.0,42.4
single,0,young,0.0,0.0,0.1,240,10049,1,0,334,,0.0,1.0,42.4
single,0,young,0.0,1e-06,0.1,240,10289,1,0,611,,0.0,1.0,42.6
single,0,young,0.0,1e-07,0.1,240,10233,1,0,426,,0.0,1.0,42.6
single,0,young,0.0,1e-07,0.1,240,10185,2,1,410,,0.0,1.0,42.8
single,0,young,0.0,0.0,0.1,240,10001,1,0,478,,0.0,1.0,42.9
single,0,young,0.0,0.0,0.1,240,10009,1,0,392,,0.0,1.0,43.0
single,0,young,0.0,1e-06,0.1,240,10281,1,0,353,,0.0,1.0,43.4
single,0,young,0.0,1e-06,0.1,240,10273,1,0,461,,0.0,1.0,43.8
single,0,young,0.0,1e-08,0.1,240,10161,1,0,432,,0.0,1.0,44.6
single,0,young,0.0,0.0,0.1,240,10017,1,0,333,,0.0,1.0,45.4
single,0,young,0.0,1e-07,0.1,240,10225,1,0,390,,0.0,1.0,47.4
single,0,young,0.0,1e-08,0.1,240,10137,2,1,455,,0.0,1.0,48.2
single,0,young,0.0,1e-08,0.1,240,10153,1,0,358,,0.0,1.0,49.9
single,0,young,0.0,1e-09,0.1,240,10105,1,0,431,,0.0,1.0,50.9
single,0,young,0.0,1e-09,0.1,240,10073,1,0,499,,0.0,1.0,54.8
single,0,young,0.0,1e-06,0.1,240,10241,1,0,325,,0.0,1.0,55.3
single,0,young,0.0,1e-06,0.1,240,10297,1,0,562,,0.0,1.0,55.6
single,0,young,0.0,1e-08,0.1,240,10129,1,0,289,,0.0,1.0,58.9
single,0,young,0.0,1e-08,0.1,240,10169,1,0,336,,0.0,1.0,62.1
single,0,young,0.0,1e-06,0.1,240,10257,1,0,343,,0.0,1.0,66.1
single,0,young,0.0,1e-09,0.1,240,10089,1,0,437,,0.0,1.0,68.5
single,0,young,0.0,1e-09,0.1,240,10097,1,0,384,,0.0,1.0,71.5
single,0,young,0.0,1e-08,0.1,240,10121,1,0,379,,0.0,1.0,72.3
single,0,young,0.0,1e-07,0.1,240,10201,1,0,426,,0.0,1.0,73.3
single,0,young,0.0,0.0,0.1,240,10025,1,0,560,,0.0,1.0,74.4
single,0,young,0.0,1e-06,0.1,240,10249,1,0,411,,0.0,1.0,78.2
single,0,young,1e-08,1e-09,0.1,240,10361,1,0,339,,0.0,1.0,138.7
single,0,young,1e-08,0.0,0.1,240,10329,1,0,317,,0.0,1.0,145.7
single,0,young,1e-08,1e-06,0.1,240,10561,1,0,382,,0.0,1.0,201.9
single,0,young,1e-08,1e-07,0.1,240,10497,1,0,382,,0.0,1.0,274.6
single,0,young,1e-08,1e-08,0.1,240,10473,1,0,395,,0.0,1.0,276.9
single,0,young,1e-08,1e-07,0.1,240,10505,1,0,406,,0.0,1.0,279.9
single,0,young,1e-08,0.0,0.1,240,10321,1,0,434,,0.0,1.0,298.2
single,0,young,1e-08,1e-09,0.1,240,10417,1,0,399,,0.0,1.0,298.7
single,0,young,1e-08,1e-07,0.1,240,10521,1,0,411,,0.0,1.0,263.0
single,0,young,1e-08,0.0,0.1,240,10313,1,0,381,,0.0,1.0,311.3
single,0,young,1e-08,1e-09,0.1,240,10409,1,0,373,,0.0,1.0,319.5
single,0,young,1e-08,1e-09,0.1,240,10369,1,0,444,,0.0,1.0,320.8
single,0,young,1e-08,0.0,0.1,240,10353,1,0,413,,0.0,1.0,321.1
single,0,young,1e-08,1e-07,0.1,240,10481,2,1,390,,0.0,1.0,321.5
single,0,young,1e-08,1e-08,0.1,240,10465,1,0,410,,0.0,1.0,327.2
single,0,young,1e-08,1e-09,0.1,240,10401,1,0,410,,0.0,1.0,328.0
single,0,young,1e-08,1e-08,0.1,240,10425,1,0,394,,0.0,1.0,334.6
single,0,young,1e-08,0.0,0.1,240,10337,1,0,418,,0.0,1.0,344.9
single,0,young,1e-08,1e-06,0.1,240,10585,1,0,426,,0.0,1.0,307.2
single,0,young,1e-08,1e-07,0.1,240,10537,1,0,342,,0.0,1.0,315.3
single,0,recent,0.0,0.0,0.1,240,10905,1,0,290,,0.0,1.0,32.2
single,0,young,1e-08,1e-06,0.1,240,10569,2,1,362,,0.0,1.0,319.8
single,0,young,1e-08,0.0,0.1,240,10345,1,0,395,,0.0,1.0,361.4
single,0,young,1e-08,1e-06,0.1,240,10545,1,0,413,,0.0,1.0,324.5
single,0,recent,0.0,0.0,0.1,240,10929,1,0,390,,0.0,1.0,39.3
single,0,recent,0.0,0.0,0.1,240,10945,1,0,277,,0.0,1.0,35.2
single,0,recent,0.0,0.0,0.1,240,10921,2,1,462,,0.0,1.0,55.2
single,0,young,1e-08,1e-06,0.1,240,10577,1,0,455,,0.0,1.0,336.1
single,0,recent,0.0,0.0,0.1,240,10937,2,1,461,,0.0,1.0,51.7
single,0,recent,0.0,0.0,0.1,240,10913,1,0,302,,0.0,1.0,63.9
single,0,recent,0.0,1e-09,0.1,240,10961,2,1,389,,0.0,1.0,39.5
single,0,recent,0.0,1e-09,0.1,240,10977,1,0,334,,0.0,1.0,41.7
single,0,recent,0.0,0.0,0.1,240,10953,2,1,449,,0.0,1.0,51.4
single,0,recent,0.0,1e-09,0.1,240,11001,1,0,243,,0.0,1.0,39.3
single,0,recent,0.0,1e-09,0.1,240,11017,1,0,250,,0.0,1.0,32.0
single,0,young,1e-08,0.0,0.1,240,10305,1,0,481,,0.0,1.0,402.7
single,0,recent,0.0,1e-09,0.1,240,10985,1,0,438,,0.0,1.0,44.0
single,0,recent,0.0,1e-09,0.1,240,10969,2,1,436,,0.0,1.0,51.6
single,0,recent,0.0,1e-09,0.1,240,10993,2,1,489,,0.0,1.0,49.1
single,0,recent,0.0,1e-08,0.1,240,11025,1,0,381,,0.0,1.0,35.4
single,0,recent,0.0,1e-08,0.1,240,11033,3,1,390,,0.0,1.0,41.4
single,0,recent,0.0,1e-08,0.1,240,11049,2,1,353,,0.0,1.0,35.6
single,0,recent,0.0,1e-09,0.1,240,11009,1,0,362,,0.0,1.0,55.8
single,0,recent,0.0,1e-08,0.1,240,11041,1,0,279,,0.0,1.0,42.9
single,0,young,1e-08,1e-09,0.1,240,10385,2,1,435,,0.0,1.0,428.7
single,0,recent,0.0,1e-08,0.1,240,11057,2,1,382,,0.0,1.0,41.4
single,0,young,1e-08,1e-06,0.1,240,10593,1,0,435,,0.0,1.0,392.2
single,0,recent,0.0,1e-07,0.1,240,11081,1,0,273,,0.0,1.0,33.8
single,0,recent,0.0,1e-08,0.1,240,11073,2,1,448,,0.0,1.0,41.3
single,0,recent,0.0,1e-08,0.1,240,11065,1,0,368,,0.0,1.0,43.3
single,0,recent,0.0,1e-07,0.1,240,11089,1,0,574,,0.0,1.0,39.6
single,0,recent,0.0,1e-07,0.1,240,11105,2,1,339,,0.0,1.0,39.7
single,0,young,1e-08,1e-08,0.1,240,10433,1,0,374,,0.0,1.0,449.7
